150
1738D0
4902.801076D0
30	17	 0.3419209551500D-6	 0.3721107177480D-6
30	18	 0.1635787949420D-6	 0.1083689062030D-6
30	19	-0.3855510335180D-6	 0.1225475453420D-6
30	20	 0.3804081429370D-7	-0.2771951471690D-7
30	21	-0.1575592637040D-7	 0.1707195438690D-6
30	22	 0.2436608263320D-6	 0.6264096156110D-6
30	23	-0.3469172627880D-6	-0.5059377793930D-7
30	24	-0.2389582519240D-6	 0.3036152256490D-7
30	25	 0.2776458611010D-7	 0.3141813244520D-6
30	26	-0.5583743529480D-7	-0.1517741435400D-6
30	27	 0.6732729879089D-7	 0.5243973078470D-6
30	28	-0.1455826455400D-6	-0.6257130371240D-6
30	29	 0.1901192359380D-6	 0.5215808273550D-7
30	30	-0.1976174441400D-6	 0.9315489638600D-6
31	0	 0.6158111035710D-6	 0.0000000000000D+0
